PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
24,0,3,"Passenger, Mr. Synthetic23",male,34.12,1,1,TICK100023,4.0374,nan,S
25,1,3,"Passenger, Mrs. Synthetic24",female,37.58,1,0,TICK100024,11.0072,B82,C
26,1,1,"Passenger, Mr. Synthetic25",male,27.03,0,0,TICK100025,25.7137,nan,S
27,1,3,"Passenger, Mrs. Synthetic26",female,50.44,0,0,TICK100026,41.8976,E53,S
28,0,1,"Passenger, Mr. Synthetic27",male,43.11,1,3,TICK100027,23.2058,nan,C
29,1,1,"Passenger, Mr. Synthetic28",male,,2,0,TICK100028,70.9135,A1,S
30,0,3,"Passenger, Mrs. Synthetic29",female,,0,0,TICK100029,11.1513,nan,S
31,0,3,"Passenger, Mrs. Synthetic30",female,56.07,0,0,TICK100030,51.6697,nan,S
32,1,3,"Passenger, Mrs. Synthetic31",female,56.45,0,0,TICK100031,23.1087,F18,S
33,1,2,"Passenger, Mr. Synthetic32",male,11.81,1,0,TICK100032,44.2809,F92,C
34,1,2,"Passenger, Mr. Synthetic33",male,,4,0,TICK100033,11.8438,nan,S
35,0,3,"Passenger, Mr. Synthetic34",male,49.79,0,2,TICK100034,46.2775,nan,S
36,0,1,"Passenger, Mr. Synthetic35",male,14.18,0,1,TICK100035,34.1504,nan,S
37,1,1,"Passenger, Mrs. Synthetic36",female,10.48,0,0,TICK100036,25.2453,C19,Q
38,0,3,"Passenger, Mrs. Synthetic37",female,22.19,0,0,TICK100037,13.2265,nan,S
39,1,1,"Passenger, Mrs. Synthetic38",female,34.88,0,3,TICK100038,36.5475,nan,Q
40,1,3,"Passenger, Mrs. Synthetic39",female,27.57,0,0,TICK100039,9.5455,nan,C
41,1,2,"Passenger, Mrs. Synthetic40",female,19.89,0,0,TICK100040,33.6978,nan,S
42,1,3,"Passenger, Mrs. Synthetic41",female,19.56,0,2,TICK100041,53.9878,nan,C
43,0,3,"Passenger, Mr. Synthetic42",male,19.03,0,0,TICK100042,18.6832,nan,S
44,0,2,"Passenger, Mr. Synthetic43",male,16.69,0,1,TICK100043,15.4479,B80,S
45,0,3,"Passenger, Mr. Synthetic44",male,60.94,1,0,TICK100044,17.413,nan,S
46,1,3,"Passenger, Mrs. Synthetic45",female,33.17,0,0,TICK100045,11.8673,nan,C
47,0,2,"Passenger, Mr. Synthetic46",male,41.41,1,1,TICK100046,13.2988,nan,C
48,1,2,"Passenger, Mr. Synthetic47",male,22.15,0,0,TICK100047,17.6852,nan,C
49,0,3,"Passenger, Mrs. Synthetic48",female,26.4,0,0,TICK100048,15.0734,nan,Q
50,1,1,"Passenger, Mr. Synthetic49",male,19.01,0,0,TICK100049,48.1838,nan,S
51,1,1,"Passenger, Mr. Synthetic50",male,0.42,0,0,TICK100050,83.9565,nan,C
52,1,1,"Passenger, Mrs. Synthetic51",female,9.71,0,0,TICK100051,21.3437,nan,C
53,0,3,"Passenger, Mrs. Synthetic52",female,3.65,0,0,TICK100052,6.3191,nan,S
54,0,3,"Passenger, Mr. Synthetic53",male,0.42,1,0,TICK100053,8.9478,nan,S
55,0,3,"Passenger, Mrs. Synthetic54",female,12.26,0,0,TICK100054,53.5345,nan,S
56,0,3,"Passenger, Mr. Synthetic55",male,47.55,0,0,TICK100055,23.2092,nan,C
57,1,3,"Passenger, Mrs. Synthetic56",female,28.38,0,1,TICK100056,11.1889,nan,S
58,0,3,"Passenger, Mr. Synthetic57",male,47.07,0,0,TICK100057,15.6405,nan,S
59,1,1,"Passenger, Mr. Synthetic58",male,34.75,1,0,TICK100058,44.1219,E3,S
60,1,1,"Passenger, Mr. Synthetic59",male,39.96,1,0,TICK100059,28.5641,nan,S
61,0,3,"Passenger, Mr. Synthetic60",male,16.39,0,0,TICK100060,54.4791,nan,S
62,1,3,"Passenger, Mrs. Synthetic61",female,36.34,0,0,TICK100061,49.947,nan,S
63,1,3,"Passenger, Mr. Synthetic62",male,39.2,0,0,TICK100062,23.4542,nan,C
64,0,3,"Passenger, Mr. Synthetic63",male,20.93,0,0,TICK100063,78.7369,nan,S
65,0,3,"Passenger, Mr. Synthetic64",male,36.83,1,2,TICK100064,0.6053,E87,C
66,1,3,"Passenger, Mrs. Synthetic65",female,36.93,1,1,TICK100065,117.5129,nan,S
67,1,3,"Passenger, Mrs. Synthetic66",female,21.31,0,0,TICK100066,138.8096,nan,Q
68,0,2,"Passenger, Mrs. Synthetic67",female,13.28,0,1,TICK100067,15.5072,nan,S
69,1,1,"Passenger, Mr. Synthetic68",male,12.42,0,2,TICK100068,30.6682,nan,S
70,1,2,"Passenger, Mr. Synthetic69",male,30.21,0,0,TICK100069,27.6063,nan,S
71,0,1,"Passenger, Mr. Synthetic70",male,33.58,0,0,TICK100070,23.7112,nan,S
72,0,2,"Passenger, Mr. Synthetic71",male,17.9,0,0,TICK100071,40.0676,nan,S
73,0,3,"Passenger, Mrs. Synthetic72",female,29.37,2,0,TICK100072,7.6425,nan,C
74,1,1,"Passenger, Mrs. Synthetic73",female,36.99,0,0,TICK100073,51.6553,nan,S
75,1,1,"Passenger, Mr. Synthetic74",male,37.65,0,0,TICK100074,44.3146,nan,S
76,0,2,"Passenger, Mr. Synthetic75",male,50.73,0,0,TICK100075,30.8398,nan,S
77,0,2,"Passenger, Mrs. Synthetic76",female,46.88,0,1,TICK100076,15.4832,nan,S
78,1,3,"Passenger, Mr. Synthetic77",male,14.98,1,1,TICK100077,14.3045,nan,S
79,0,3,"Passenger, Mr. Synthetic78",male,52.57,0,0,TICK100078,48.6451,nan,S
80,0,3,"Passenger, Mr. Synthetic79",male,21.57,1,0,TICK100079,60.5959,nan,S
81,0,3,"Passenger, Mr. Synthetic80",male,43.63,1,0,TICK100080,3.9609,D12,Q
82,0,2,"Passenger, Mr. Synthetic81",male,29.95,0,0,TICK100081,12.5727,nan,S
83,0,3,"Passenger, Mr. Synthetic82",male,23.23,0,2,TICK100082,16.5984,nan,S
84,0,1,"Passenger, Mr. Synthetic83",male,3.69,2,1,TICK100083,23.5332,nan,S
85,0,1,"Passenger, Mr. Synthetic84",male,26.6,0,2,TICK100084,79.389,nan,S
86,1,1,"Passenger, Mr. Synthetic85",male,7.17,0,1,TICK100085,82.6843,C40,S
87,0,3,"Passenger, Mr. Synthetic86",male,,2,2,TICK100086,42.4933,nan,Q
88,0,3,"Passenger, Mrs. Synthetic87",female,50.24,1,0,TICK100087,14.8326,A58,S
89,1,1,"Passenger, Mrs. Synthetic88",female,17.84,0,0,TICK100088,23.5764,C10,S
90,0,3,"Passenger, Mr. Synthetic89",male,33.23,0,0,TICK100089,1.2754,nan,C
91,1,1,"Passenger, Mr. Synthetic90",male,18.84,0,0,TICK100090,57.0024,nan,S
92,0,3,"Passenger, Mrs. Synthetic91",female,,1,0,TICK100091,33.8296,nan,C
93,0,2,"Passenger, Mr. Synthetic92",male,,0,0,TICK100092,22.0907,nan,S
94,0,2,"Passenger, Mr. Synthetic93",male,28.46,0,2,TICK100093,44.0288,nan,S
95,1,2,"Passenger, Mrs. Synthetic94",female,,1,0,TICK100094,37.4033,nan,Q
96,1,3,"Passenger, Mr. Synthetic95",male,22.25,2,2,TICK100095,2.8303,nan,C
97,0,2,"Passenger, Mrs. Synthetic96",female,42.99,1,1,TICK100096,19.209,nan,C
98,1,1,"Passenger, Mr. Synthetic97",male,30.36,0,0,TICK100097,58.2524,nan,S
99,1,1,"Passenger, Mrs. Synthetic98",female,40.14,0,0,TICK100098,41.5143,nan,C
100,0,3,"Passenger, Mr. Synthetic99",male,22.74,2,0,TICK100099,57.3773,B25,S
101,0,3,"Passenger, Mr. Synthetic100",male,,2,0,TICK100100,15.6304,nan,S
102,0,3,"Passenger, Mr. Synthetic101",male,27.38,0,0,TICK100101,79.7181,nan,S
103,1,2,"Passenger, Mr. Synthetic102",male,17.3,0,2,TICK100102,63.1574,nan,S
104,1,3,"Passenger, Mrs. Synthetic103",female,,0,0,TICK100103,61.0641,nan,S
105,0,3,"Passenger, Mr. Synthetic104",male,38.1,0,0,TICK100104,31.2991,F31,S
106,1,3,"Passenger, Mr. Synthetic105",male,37.31,0,0,TICK100105,3.2086,nan,C
107,1,2,"Passenger, Mrs. Synthetic106",female,50.52,0,0,TICK100106,21.0211,nan,C
108,1,2,"Passenger, Mrs. Synthetic107",female,49.29,0,0,TICK100107,113.3784,nan,Q
109,1,1,"Passenger, Mr. Synthetic108",male,23.75,1,0,TICK100108,29.5898,nan,S
110,0,3,"Passenger, Mr. Synthetic109",male,34.22,0,0,TICK100109,28.5263,nan,Q
111,0,3,"Passenger, Mrs. Synthetic110",female,20.27,0,0,TICK100110,71.4233,nan,S
112,1,1,"Passenger, Mrs. Synthetic111",female,29.33,0,0,TICK100111,85.2041,nan,S
113,1,2,"Passenger, Mrs. Synthetic112",female,20.6,0,0,TICK100112,60.3717,nan,C
114,1,3,"Passenger, Mrs. Synthetic113",female,51.68,0,0,TICK100113,53.8056,C74,S
115,0,1,"Passenger, Mrs. Synthetic114",female,34.09,0,0,TICK100114,63.0475,nan,S
116,0,3,"Passenger, Mr. Synthetic115",male,25.95,0,0,TICK100115,47.6512,nan,S
117,0,3,"Passenger, Mr. Synthetic116",male,45.71,0,0,TICK100116,18.9289,nan,S
118,0,3,"Passenger, Mr. Synthetic117",male,0.42,2,0,TICK100117,46.5783,E1,C
119,1,2,"Passenger, Mrs. Synthetic118",female,,0,0,TICK100118,29.0895,nan,S
120,1,3,"Passenger, Mrs. Synthetic119",female,40.14,2,0,TICK100119,69.1044,D54,S
121,1,3,"Passenger, Mr. Synthetic120",male,29.85,1,0,TICK100120,19.6385,nan,S
122,0,3,"Passenger, Mr. Synthetic121",male,,1,0,TICK100121,47.8105,nan,S
123,0,1,"Passenger, Mr. Synthetic122",male,10.43,0,2,TICK100122,42.7862,nan,C
124,0,2,"Passenger, Mrs. Synthetic123",female,28.67,0,0,TICK100123,13.7439,nan,Q
125,0,1,"Passenger, Mr. Synthetic124",male,57.05,0,2,TICK100124,118.7147,nan,C
126,0,3,"Passenger, Mr. Synthetic125",male,40.54,1,0,TICK100125,14.7884,nan,C
127,0,2,"Passenger, Mr. Synthetic126",male,31.38,0,0,TICK100126,20.2815,nan,S
128,0,1,"Passenger, Mr. Synthetic127",male,22.85,2,0,TICK100127,22.6698,nan,C
129,0,1,"Passenger, Mr. Synthetic128",male,23.48,0,1,TICK100128,39.243,nan,S
130,0,3,"Passenger, Mr. Synthetic129",male,0.42,1,1,TICK100129,17.6596,nan,S
131,1,1,"Passenger, Mr. Synthetic130",male,32.61,0,0,TICK100130,93.6987,nan,S
132,0,3,"Passenger, Mr. Synthetic131",male,40.84,0,1,TICK100131,43.2545,nan,S
133,0,3,"Passenger, Mr. Synthetic132",male,,0,0,TICK100132,5.9597,nan,C
134,1,2,"Passenger, Mr. Synthetic133",male,19.74,0,0,TICK100133,26.3047,nan,S
135,0,3,"Passenger, Mr. Synthetic134",male,12.8,0,0,TICK100134,28.5701,nan,Q
136,1,1,"Passenger, Mrs. Synthetic135",female,15.49,0,3,TICK100135,103.3298,nan,S
137,1,3,"Passenger, Mr. Synthetic136",male,29.75,0,0,TICK100136,1.6358,nan,S
138,0,3,"Passenger, Mr. Synthetic137",male,0.42,0,1,TICK100137,13.733,nan,C
139,0,3,"Passenger, Mr. Synthetic138",male,37.6,0,0,TICK100138,7.3018,B92,S
140,0,1,"Passenger, Mr. Synthetic139",male,39.55,3,0,TICK100139,45.1457,B36,S
141,0,3,"Passenger, Mr. Synthetic140",male,25.48,0,0,TICK100140,23.5548,nan,S
142,0,3,"Passenger, Mr. Synthetic141",male,,0,1,TICK100141,41.683,nan,Q
143,0,3,"Passenger, Mrs. Synthetic142",female,15.05,0,0,TICK100142,21.963,nan,C
144,0,3,"Passenger, Mr. Synthetic143",male,46.26,0,0,TICK100143,28.4379,E25,S
145,0,3,"Passenger, Mr. Synthetic144",male,,0,0,TICK100144,25.319,nan,S
146,0,2,"Passenger, Mr. Synthetic145",male,24.13,0,0,TICK100145,14.5323,nan,S
147,0,2,"Passenger, Mr. Synthetic146",male,12.48,2,0,TICK100146,18.6261,E20,S
148,0,3,"Passenger, Mr. Synthetic147",male,40.26,0,0,TICK100147,10.2232,nan,S
149,0,2,"Passenger, Mrs. Synthetic148",female,19.55,1,0,TICK100148,183.378,nan,S
150,1,1,"Passenger, Mrs. Synthetic149",female,34.66,0,0,TICK100149,23.6019,E2,S
151,0,3,"Passenger, Mr. Synthetic150",male,,0,0,TICK100150,5.3853,nan,S
152,0,3,"Passenger, Mr. Synthetic151",male,54.71,0,2,TICK100151,0.5754,nan,S
153,1,1,"Passenger, Mr. Synthetic152",male,26.16,0,0,TICK100152,42.1177,nan,S
154,0,3,"Passenger, Mr. Synthetic153",male,34.26,0,3,TICK100153,45.185,nan,S
155,1,1,"Passenger, Mrs. Synthetic154",female,8.21,0,2,TICK100154,61.2529,nan,C
156,0,3,"Passenger, Mr. Synthetic155",male,45.67,1,0,TICK100155,25.1245,D67,S
157,0,2,"Passenger, Mr. Synthetic156",male,18.35,0,0,TICK100156,35.9217,nan,C
158,1,3,"Passenger, Mrs. Synthetic157",female,21.15,0,0,TICK100157,19.3164,nan,S
159,1,3,"Passenger, Mr. Synthetic158",male,,0,0,TICK100158,23.5677,nan,S
160,0,3,"Passenger, Mr. Synthetic159",male,7.12,0,0,TICK100159,36.6567,nan,S
161,0,1,"Passenger, Mrs. Synthetic160",female,32.2,0,0,TICK100160,168.2906,nan,S
162,0,3,"Passenger, Mr. Synthetic161",male,42.54,0,0,TICK100161,74.0575,F71,S
163,1,1,"Passenger, Mr. Synthetic162",male,33.1,4,0,TICK100162,75.5026,nan,C
164,0,1,"Passenger, Mr. Synthetic163",male,6.76,0,3,TICK100163,95.5664,nan,Q
165,0,3,"Passenger, Mrs. Synthetic164",female,27.27,0,0,TICK100164,4.4392,nan,S
166,1,2,"Passenger, Mr. Synthetic165",male,39.39,1,0,TICK100165,65.9477,A29,S
167,0,3,"Passenger, Mr. Synthetic166",male,2.71,1,3,TICK100166,81.4548,nan,C
168,0,3,"Passenger, Mr. Synthetic167",male,13.95,0,0,TICK100167,2.2909,F61,S
169,0,2,"Passenger, Mr. Synthetic168",male,41.27,0,0,TICK100168,22.2243,C42,S
170,0,3,"Passenger, Mr. Synthetic169",male,32.78,1,1,TICK100169,45.1554,nan,C
171,1,2,"Passenger, Mr. Synthetic170",male,34.77,1,0,TICK100170,19.7001,nan,S
172,0,3,"Passenger, Mr. Synthetic171",male,55.03,0,0,TICK100171,10.786,nan,S
173,1,2,"Passenger, Mr. Synthetic172",male,35.56,2,0,TICK100172,58.1229,nan,S
174,1,3,"Passenger, Mrs. Synthetic173",female,38.21,0,2,TICK100173,46.8375,nan,S
175,0,1,"Passenger, Mr. Synthetic174",male,66.95,1,0,TICK100174,23.6242,E90,S
176,1,1,"Passenger, Mrs. Synthetic175",female,26.01,0,0,TICK100175,35.4708,nan,C
177,0,2,"Passenger, Mr. Synthetic176",male,17.83,0,0,TICK100176,26.1257,nan,S
178,0,3,"Passenger, Mr. Synthetic177",male,34.99,0,0,TICK100177,4.7168,nan,C
179,0,3,"Passenger, Mrs. Synthetic178",female,35.15,0,0,TICK100178,10.3162,F53,C
180,1,3,"Passenger, Mrs. Synthetic179",female,21.63,0,0,TICK100179,1.0494,nan,C
181,0,3,"Passenger, Mr. Synthetic180",male,14.55,0,1,TICK100180,10.6045,nan,S
182,1,3,"Passenger, Mrs. Synthetic181",female,61.34,0,0,TICK100181,18.8234,C90,S
183,0,3,"Passenger, Mr. Synthetic182",male,33.58,0,0,TICK100182,12.9351,D54,S
184,0,2,"Passenger, Mr. Synthetic183",male,,1,0,TICK100183,58.6129,nan,S
185,1,3,"Passenger, Mrs. Synthetic184",female,41.82,1,0,TICK100184,49.6259,nan,Q
186,0,3,"Passenger, Mr. Synthetic185",male,27.47,0,0,TICK100185,26.4771,nan,S
187,1,2,"Passenger, Mrs. Synthetic186",female,,0,0,TICK100186,21.6306,nan,C
188,0,1,"Passenger, Mr. Synthetic187",male,36.87,0,0,TICK100187,21.3624,nan,S
189,1,3,"Passenger, Mrs. Synthetic188",female,10.91,2,0,TICK100188,4.6243,nan,S
190,0,2,"Passenger, Mr. Synthetic189",male,33.94,0,0,TICK100189,57.3354,nan,S
191,0,3,"Passenger, Mr. Synthetic190",male,55.78,0,0,TICK100190,2.5281,E29,C
192,0,2,"Passenger, Mr. Synthetic191",male,35.53,2,0,TICK100191,11.3416,nan,S
193,1,1,"Passenger, Mr. Synthetic192",male,23.73,2,2,TICK100192,35.9415,C62,S
194,1,3,"Passenger, Mr. Synthetic193",male,21.9,0,1,TICK100193,59.2031,nan,C
195,0,1,"Passenger, Mr. Synthetic194",male,23.26,0,2,TICK100194,56.2423,nan,S
196,0,1,"Passenger, Mr. Synthetic195",male,25.44,0,2,TICK100195,75.4653,nan,S
197,0,3,"Passenger, Mr. Synthetic196",male,23.71,1,0,TICK100196,13.9665,nan,S
198,0,3,"Passenger, Mr. Synthetic197",male,41.83,0,2,TICK100197,20.7599,nan,S
199,1,1,"Passenger, Mrs. Synthetic198",female,4.74,0,0,TICK100198,37.05,nan,S
200,1,2,"Passenger, Mrs. Synthetic199",female,41.07,0,0,TICK100199,47.5677,nan,S
201,0,3,"Passenger, Mrs. Synthetic200",female,23.68,0,0,TICK100200,17.1424,nan,S
202,0,3,"Passenger, Mr. Synthetic201",male,34.28,0,0,TICK100201,41.3289,nan,S
203,1,3,"Passenger, Mrs. Synthetic202",female,13.22,0,0,TICK100202,15.491,nan,S
204,1,1,"Passenger, Mr. Synthetic203",male,,1,0,TICK100203,33.1507,nan,S
205,0,1,"Passenger, Mr. Synthetic204",male,46.44,1,0,TICK100204,43.8866,nan,S
206,1,1,"Passenger, Mr. Synthetic205",male,42.43,0,1,TICK100205,27.8218,nan,S
207,1,1,"Passenger, Mrs. Synthetic206",female,7.79,1,0,TICK100206,254.0414,nan,S
208,0,3,"Passenger, Mr. Synthetic207",male,40.61,0,0,TICK100207,22.5714,D30,S
209,0,1,"Passenger, Mr. Synthetic208",male,34.67,0,0,TICK100208,45.8028,B42,S
210,1,3,"Passenger, Mrs. Synthetic209",female,6.53,0,0,TICK100209,25.0485,nan,C
211,0,3,"Passenger, Mr. Synthetic210",male,,1,0,TICK100210,0.8488,F42,C
212,0,3,"Passenger, Mr. Synthetic211",male,34.1,1,0,TICK100211,27.6863,nan,S
213,1,1,"Passenger, Mrs. Synthetic212",female,36.79,1,0,TICK100212,63.0389,nan,S
214,1,3,"Passenger, Mr. Synthetic213",male,31.48,1,0,TICK100213,22.9283,C66,S
215,0,3,"Passenger, Mr. Synthetic214",male,33.08,2,1,TICK100214,27.5454,nan,C
216,0,3,"Passenger, Mrs. Synthetic215",female,,0,0,TICK100215,23.2679,A70,S
217,0,1,"Passenger, Mrs. Synthetic216",female,46.16,2,0,TICK100216,68.5644,nan,S
218,0,1,"Passenger, Mr. Synthetic217",male,0.42,0,0,TICK100217,34.9546,nan,S
219,0,3,"Passenger, Mr. Synthetic218",male,24.56,0,1,TICK100218,11.3508,nan,S
220,1,2,"Passenger, Mr. Synthetic219",male,26.69,0,0,TICK100219,28.4909,A79,S
221,1,2,"Passenger, Mr. Synthetic220",male,4.47,0,0,TICK100220,34.0181,nan,C
222,0,3,"Passenger, Mr. Synthetic221",male,30.32,0,0,TICK100221,19.3348,nan,Q
223,0,3,"Passenger, Mr. Synthetic222",male,46.48,0,0,TICK100222,20.3031,nan,S
224,1,3,"Passenger, Mrs. Synthetic223",female,,0,0,TICK100223,27.696,nan,S
225,0,2,"Passenger, Mrs. Synthetic224",female,33.71,0,0,TICK100224,10.8209,nan,S
226,0,3,"Passenger, Mr. Synthetic225",male,16.18,1,0,TICK100225,120.4687,nan,S
227,0,1,"Passenger, Mr. Synthetic226",male,19.59,0,0,TICK100226,39.4045,F43,S
228,0,3,"Passenger, Mr. Synthetic227",male,49.68,0,0,TICK100227,24.9577,nan,S
229,0,3,"Passenger, Mrs. Synthetic228",female,21.4,0,0,TICK100228,49.2438,nan,C
230,1,1,"Passenger, Mr. Synthetic229",male,35.47,0,2,TICK100229,38.4956,nan,Q
231,1,1,"Passenger, Mr. Synthetic230",male,,0,0,TICK100230,52.5052,nan,S
232,0,2,"Passenger, Mr. Synthetic231",male,55.07,1,0,TICK100231,120.7472,B36,S
233,0,3,"Passenger, Mr. Synthetic232",male,37.44,0,0,TICK100232,26.9685,nan,S
234,0,3,"Passenger, Mrs. Synthetic233",female,26.45,1,2,TICK100233,55.2728,nan,S
235,0,3,"Passenger, Mrs. Synthetic234",female,37.06,1,0,TICK100234,37.9904,nan,S
236,1,3,"Passenger, Mr. Synthetic235",male,9.26,0,2,TICK100235,18.9464,nan,S
237,0,3,"Passenger, Mrs. Synthetic236",female,45.56,1,0,TICK100236,21.8703,nan,S
238,1,3,"Passenger, Mrs. Synthetic237",female,24.46,0,0,TICK100237,6.3805,E74,C
239,0,1,"Passenger, Mr. Synthetic238",male,,1,0,TICK100238,46.4042,E42,S
240,1,1,"Passenger, Mr. Synthetic239",male,22.12,1,0,TICK100239,39.8982,D2,S
241,1,3,"Passenger, Mr. Synthetic240",male,20.87,1,1,TICK100240,16.3473,nan,S
242,0,3,"Passenger, Mrs. Synthetic241",female,38.73,0,1,TICK100241,6.5835,A13,Q
243,0,1,"Passenger, Mr. Synthetic242",male,32.58,1,0,TICK100242,40.5502,nan,S
244,0,3,"Passenger, Mr. Synthetic243",male,38.12,4,3,TICK100243,72.6752,nan,S
245,1,3,"Passenger, Mr. Synthetic244",male,,0,0,TICK100244,6.3969,nan,S
246,0,3,"Passenger, Mrs. Synthetic245",female,36.18,1,0,TICK100245,23.6408,nan,S
247,1,3,"Passenger, Mr. Synthetic246",male,23.14,1,0,TICK100246,9.6199,nan,Q
248,1,2,"Passenger, Mrs. Synthetic247",female,60.22,0,0,TICK100247,22.3444,nan,S
249,0,2,"Passenger, Mr. Synthetic248",male,7.05,2,1,TICK100248,11.0611,nan,C
250,1,2,"Passenger, Mrs. Synthetic249",female,46.65,0,0,TICK100249,74.2672,nan,S
251,0,3,"Passenger, Mr. Synthetic250",male,48.15,0,0,TICK100250,3.9199,nan,S
252,1,3,"Passenger, Mr. Synthetic251",male,17.07,0,0,TICK100251,23.6072,nan,S
253,1,3,"Passenger, Mrs. Synthetic252",female,,0,0,TICK100252,24.4637,nan,S
254,0,2,"Passenger, Mrs. Synthetic253",female,42.94,1,0,TICK100253,41.2801,nan,S
255,1,1,"Passenger, Mr. Synthetic254",male,42.6,0,0,TICK100254,25.7602,nan,S
256,0,3,"Passenger, Mr. Synthetic255",male,29.39,0,0,TICK100255,49.7271,F57,S
257,0,3,"Passenger, Mrs. Synthetic256",female,,0,0,TICK100256,14.3565,nan,C
258,1,1,"Passenger, Mrs. Synthetic257",female,26.07,0,0,TICK100257,38.3607,nan,Q
259,0,1,"Passenger, Mr. Synthetic258",male,34.47,1,0,TICK100258,24.9939,F86,S
260,0,3,"Passenger, Mr. Synthetic259",male,48.62,1,0,TICK100259,6.6592,nan,S
261,1,1,"Passenger, Mrs. Synthetic260",female,31.54,0,1,TICK100260,21.8039,nan,C
262,1,3,"Passenger, Mrs. Synthetic261",female,16.24,0,2,TICK100261,0.0786,E58,S
263,0,2,"Passenger, Mrs. Synthetic262",female,40.54,0,0,TICK100262,73.4658,nan,C
264,0,1,"Passenger, Mr. Synthetic263",male,41.9,0,2,TICK100263,21.06,nan,S
265,0,3,"Passenger, Mr. Synthetic264",male,38.17,0,0,TICK100264,19.1671,nan,C
266,0,1,"Passenger, Mrs. Synthetic265",female,39.44,0,0,TICK100265,96.2029,nan,S
267,1,2,"Passenger, Mrs. Synthetic266",female,25.21,0,0,TICK100266,30.4684,nan,S
268,0,1,"Passenger, Mrs. Synthetic267",female,15.99,0,0,TICK100267,24.8515,nan,S
269,0,1,"Passenger, Mr. Synthetic268",male,16.85,0,1,TICK100268,98.9735,nan,S
270,0,1,"Passenger, Mr. Synthetic269",male,6.1,0,0,TICK100269,60.3983,nan,C
271,0,1,"Passenger, Mrs. Synthetic270",female,32.32,1,0,TICK100270,20.6082,nan,Q
272,0,1,"Passenger, Mr. Synthetic271",male,27.83,1,0,TICK100271,68.5133,nan,S
273,1,1,"Passenger, Mrs. Synthetic272",female,,0,0,TICK100272,58.8938,nan,S
274,0,3,"Passenger, Mr. Synthetic273",male,0.42,1,0,TICK100273,58.3708,nan,S
275,0,3,"Passenger, Mrs. Synthetic274",female,11.54,1,0,TICK100274,33.7713,nan,S
276,0,2,"Passenger, Mrs. Synthetic275",female,44.69,0,0,TICK100275,17.3327,nan,S
277,1,2,"Passenger, Mr. Synthetic276",male,19.7,0,0,TICK100276,44.4025,nan,C
278,0,3,"Passenger, Mr. Synthetic277",male,34.05,0,0,TICK100277,40.1248,nan,C
279,0,3,"Passenger, Mr. Synthetic278",male,9.53,1,0,TICK100278,52.0052,nan,S
280,0,3,"Passenger, Mr. Synthetic279",male,49.14,0,0,TICK100279,16.1792,nan,S
281,0,1,"Passenger, Mr. Synthetic280",male,26.98,0,0,TICK100280,38.4243,F7,S
282,1,1,"Passenger, Mr. Synthetic281",male,33.06,0,0,TICK100281,44.1953,nan,S
283,1,1,"Passenger, Mrs. Synthetic282",female,61.56,0,0,TICK100282,41.8685,nan,S
